ENSMUSG00000020859|Spag9
ENSMUSG00000020572|Nampt
ENSMUSG00000020841|Cpd
ENSMUSG00000068290|Ddrgk1
ENSMUSG00000037062|Sh3glb1
ENSMUSG00000024870|Rab1b
ENSMUSG00000018171|Vmp1
ENSMUSG00000021248|Tmed10
ENSMUSG00000020515|Cnot8
ENSMUSG00000020700|Map3k3
