ENSMUSG00000029769|Ccdc136
ENSMUSG00000075012|Fjx1
ENSMUSG00000032182|Yipf2
ENSMUSG00000052298|Cdc42se2
ENSMUSG00000038497|Tmco3
ENSMUSG00000033578|Tmem35a
ENSMUSG00000045414|1190002N15Rik
ENSMUSG00000022656|Nectin3
ENSMUSG00000032231|Anxa2
ENSMUSG00000041012|Cmtm8
