ENSMUSG00000013275|Slc41a1
ENSMUSG00000041650|Pcca
ENSMUSG00000041120|Nbl1
ENSMUSG00000035105|Egln3
ENSMUSG00000087497|2810001G20Rik
ENSMUSG00000022636|Alcam
ENSMUSG00000032289|Thsd4
ENSMUSG00000058571|Gpc6
ENSMUSG00000022253|Nadk2
ENSMUSG00000028883|Sema3a
