ENSMUSG00000035805|Mlc1
ENSMUSG00000039533|Mmd2
ENSMUSG00000002332|Dhrs1
ENSMUSG00000013698|Pea15a
ENSMUSG00000028194|Ddah1
ENSMUSG00000095930|Nim1k
ENSMUSG00000010663|Fads1
ENSMUSG00000030592|Ryr1
ENSMUSG00000037852|Cpe
ENSMUSG00000063297|Luzp2
