ENSMUSG00000026687|Aldh9a1
ENSMUSG00000029464|Gpn3
ENSMUSG00000006599|Gtf2h1
ENSMUSG00000039183|Nubp2
ENSMUSG00000038510|Rpf2
ENSMUSG00000021111|Papola
ENSMUSG00000032673|Prorsd1
ENSMUSG00000031231|Cox7b
ENSMUSG00000033294|Noc4l
ENSMUSG00000037740|Mrps26
