ENSMUSG00000037169|Mycn
ENSMUSG00000026970|Rbms1
ENSMUSG00000027552|E2f5
ENSMUSG00000024247|Pkdcc
ENSMUSG00000031490|Eif4ebp1
ENSMUSG00000022257|Laptm4b
ENSMUSG00000031146|Plp2
ENSMUSG00000040848|Sft2d2
ENSMUSG00000023092|Fhl1
ENSMUSG00000001864|Aif1l
