ENSMUSG00000063765|Chadl
ENSMUSG00000002279|Lmf1
ENSMUSG00000019843|Fyn
ENSMUSG00000074637|Sox2
ENSMUSG00000032264|Zw10
ENSMUSG00000051910|Sox6
ENSMUSG00000079056|Kcnip3
ENSMUSG00000056612|Ppp1r14b
ENSMUSG00000051359|Ncald
ENSMUSG00000049036|Tmem121
