ENSMUSG00000037916|Ndufv1
ENSMUSG00000054455|Vapb
ENSMUSG00000022811|Zfp148
ENSMUSG00000038705|Gmeb2
ENSMUSG00000066036|Ubr4
ENSMUSG00000066640|Fbxl18
ENSMUSG00000020232|Hmg20b
ENSMUSG00000059895|Ptp4a3
ENSMUSG00000029655|N4bp2l2
ENSMUSG00000038271|Iffo1
