ENSMUSG00000039824|Myl6b
ENSMUSG00000096999|Gm26793
ENSMUSG00000090223|Pcp4
ENSMUSG00000042978|Sbk1
ENSMUSG00000033214|Slitrk5
ENSMUSG00000029563|Foxp2
ENSMUSG00000028519|Dab1
ENSMUSG00000040282|BC052040
ENSMUSG00000023033|Scn8a
ENSMUSG00000091400|Gm6356
