ENSMUSG00000027893|Ahcyl1
ENSMUSG00000046201|Scaf8
ENSMUSG00000021000|Mia2
ENSMUSG00000018765|Fxr2
ENSMUSG00000019338|Zfp687
ENSMUSG00000054387|Mdm4
ENSMUSG00000053080|2700081O15Rik
ENSMUSG00000030822|Prr14
ENSMUSG00000055065|Ddx17
ENSMUSG00000025423|Pias2
