ENSMUSG00000073147|5031425E22Rik
ENSMUSG00000043987|Cep164
ENSMUSG00000040549|Ckap5
ENSMUSG00000019303|Psmc3ip
ENSMUSG00000030323|Ift122
ENSMUSG00000015943|Bola1
ENSMUSG00000035614|Togaram1
ENSMUSG00000027207|Galk2
ENSMUSG00000017286|Glod4
ENSMUSG00000007867|Ift43
