ENSMUSG00000026360|Rgs2
ENSMUSG00000057098|Ebf1
ENSMUSG00000081058|Hist2h3c2
ENSMUSG00000021614|Vcan
ENSMUSG00000015709|Arnt2
ENSMUSG00000038872|Zfhx3
ENSMUSG00000042078|Svop
ENSMUSG00000048240|Gng7
ENSMUSG00000030067|Foxp1
ENSMUSG00000037674|Rfx7
