ENSMUSG00000021271|Zfp839
ENSMUSG00000030101|Sumf1
ENSMUSG00000026596|Abl2
ENSMUSG00000022108|Itm2b
ENSMUSG00000028191|Bcl10
ENSMUSG00000035248|Zcchc6
ENSMUSG00000004317|Clcn5
ENSMUSG00000028559|Osbpl9
ENSMUSG00000028672|Hmgcl
ENSMUSG00000058835|Abi1
