ENSMUSG00000022338|Eny2
ENSMUSG00000019797|1700021F05Rik
ENSMUSG00000020287|Mpg
ENSMUSG00000036977|Anapc10
ENSMUSG00000024472|Dcp2
ENSMUSG00000029920|Smarcad1
ENSMUSG00000026516|Nvl
ENSMUSG00000031365|Zfp275
ENSMUSG00000039842|Mcph1
ENSMUSG00000044700|Tmem201
