ENSMUSG00000029600|Rita1
ENSMUSG00000034744|Nagk
ENSMUSG00000031516|Dctn6
ENSMUSG00000033434|Gtpbp6
ENSMUSG00000018395|Kif3a
ENSMUSG00000000826|Dnajc5
ENSMUSG00000030120|Mlf2
ENSMUSG00000024146|Cript
ENSMUSG00000027667|Zfp639
ENSMUSG00000045176|Borcs6
