ENSMUSG00000030970|Ctbp2
ENSMUSG00000022678|Nde1
ENSMUSG00000068744|Psrc1
ENSMUSG00000038943|Prc1
ENSMUSG00000079553|Kifc1
ENSMUSG00000037958|Nsrp1
ENSMUSG00000035632|Cnot3
ENSMUSG00000097206|Gm26699
ENSMUSG00000020594|Pum2
ENSMUSG00000024795|Kif20b
