ENSMUSG00000028790|Khdrbs1
ENSMUSG00000032388|Spg21
ENSMUSG00000020288|Ahsa2
ENSMUSG00000023495|Pcbp4
ENSMUSG00000064181|Rab3ip
ENSMUSG00000035021|Baz1a
ENSMUSG00000031749|St3gal2
ENSMUSG00000037013|Ss18
ENSMUSG00000026187|Xrcc5
ENSMUSG00000024790|Sac3d1
