ENSMUSG00000000346|Dazap2
ENSMUSG00000004070|Hmox2
ENSMUSG00000020818|Mfsd11
ENSMUSG00000037257|Aagab
ENSMUSG00000058706|0610030E20Rik
ENSMUSG00000070394|Tmem256
ENSMUSG00000036820|Amdhd2
ENSMUSG00000036632|Alg5
ENSMUSG00000002957|Ap2a2
ENSMUSG00000047126|Cltc
