ENSMUSG00000021598|Med10
ENSMUSG00000025529|Zfp711
ENSMUSG00000041355|Ssr2
ENSMUSG00000028334|Nans
ENSMUSG00000032050|Rdx
ENSMUSG00000030725|Lipt2
ENSMUSG00000030879|Mrpl17
ENSMUSG00000029840|Mtpn
ENSMUSG00000020149|Rab1a
ENSMUSG00000007041|Clic1
