ENSMUSG00000003411|Rab3b
ENSMUSG00000072875|Gpr27
ENSMUSG00000039278|Pcsk1n
ENSMUSG00000041362|Shtn1
ENSMUSG00000028214|Gem
ENSMUSG00000075478|Slitrk1
ENSMUSG00000032297|Celf6
ENSMUSG00000017412|Cacnb4
ENSMUSG00000035596|Mboat7
ENSMUSG00000032349|Elovl5
