ENSMUSG00000026977|March7
ENSMUSG00000009563|Tor2a
ENSMUSG00000024369|Nelfe
ENSMUSG00000034473|Sec22a
ENSMUSG00000020283|Pex13
ENSMUSG00000027180|Fbxo3
ENSMUSG00000000838|Fmr1
ENSMUSG00000030166|Rad52
ENSMUSG00000002052|Supt6
ENSMUSG00000050786|Ccdc126
