ENSMUSG00000002105|Slc39a13
ENSMUSG00000035203|Epn1
ENSMUSG00000018537|Pcgf2
ENSMUSG00000003378|Grik5
ENSMUSG00000033417|Cacul1
ENSMUSG00000016252|Atp5e
ENSMUSG00000038838|Vars2
ENSMUSG00000007411|Mark3
ENSMUSG00000064367|mt-Nd5
ENSMUSG00000064363|mt-Nd4
