ENSMUSG00000016481|Cr1l
ENSMUSG00000015750|Aph1a
ENSMUSG00000039849|Pcif1
ENSMUSG00000027997|Casp6
ENSMUSG00000034560|Washc4
ENSMUSG00000036120|Rfxank
ENSMUSG00000027720|Il2
ENSMUSG00000061104|Sap18b
ENSMUSG00000029681|Bcl7b
ENSMUSG00000029060|Mib2
