ENSMUSG00000020936|Nmt1
ENSMUSG00000033790|Tubgcp5
ENSMUSG00000078656|Vps25
ENSMUSG00000037926|Ssh2
ENSMUSG00000056608|Chd9
ENSMUSG00000039206|Daglb
ENSMUSG00000039361|Picalm
ENSMUSG00000017707|Serinc3
ENSMUSG00000030671|Pde3b
ENSMUSG00000010307|Tmem86a
