ENSMUSG00000020601|Trib2
ENSMUSG00000019889|Ptprk
ENSMUSG00000018340|Anxa6
ENSMUSG00000004451|Ralb
ENSMUSG00000018417|Myo1b
ENSMUSG00000085245|Gm11713
ENSMUSG00000047881|Rell1
ENSMUSG00000020034|Tcp11l2
ENSMUSG00000027381|Bcl2l11
ENSMUSG00000038349|Plcl1
