ENSMUSG00000042590|Ipo11
ENSMUSG00000002997|Prkar2b
ENSMUSG00000028465|Tln1
ENSMUSG00000043432|Leng9
ENSMUSG00000035183|Slc24a5
ENSMUSG00000026727|Rsu1
ENSMUSG00000024381|Bin1
ENSMUSG00000096472|Cdkn2d
ENSMUSG00000020634|Ubxn2a
ENSMUSG00000034595|Ppp1r18
