ENSMUSG00000033382|Trappc8
ENSMUSG00000020455|Trim11
ENSMUSG00000031533|Mrps31
ENSMUSG00000033530|Ttc7b
ENSMUSG00000028247|Coq3
ENSMUSG00000018239|Zcchc10
ENSMUSG00000074635|3110070M22Rik
ENSMUSG00000024999|Noc3l
ENSMUSG00000036819|Jmjd4
ENSMUSG00000021044|Adck1
