ENSMUSG00000068284|Usf3
ENSMUSG00000041740|Rnf10
ENSMUSG00000029775|Klhdc10
ENSMUSG00000014349|Ube2z
ENSMUSG00000063663|Brwd3
ENSMUSG00000020721|Helz
ENSMUSG00000072258|Taf1a
ENSMUSG00000030733|Sh2b1
ENSMUSG00000079020|Slc45a4
ENSMUSG00000040325|Dcaf1
