ENSMUSG00000022174|Dad1
ENSMUSG00000027940|Tpm3
ENSMUSG00000026895|Ndufa8
ENSMUSG00000028671|Gale
ENSMUSG00000029649|Pomp
ENSMUSG00000042747|Krtcap2
ENSMUSG00000032966|Fkbp1a
ENSMUSG00000025287|Acot9
ENSMUSG00000032540|Abhd5
ENSMUSG00000010095|Slc3a2
