ENSMUSG00000060568|Fam78b
ENSMUSG00000003436|Dll3
ENSMUSG00000034993|Vat1
ENSMUSG00000038301|Snx10
ENSMUSG00000102548|Gm16701
ENSMUSG00000068735|Trp53i11
ENSMUSG00000035551|Igfbpl1
ENSMUSG00000019230|Lhx9
ENSMUSG00000032076|Cadm1
ENSMUSG00000020150|Gamt
