ENSMUSG00000038806|Sde2
ENSMUSG00000055436|Srsf11
ENSMUSG00000031333|Abcb7
ENSMUSG00000020664|Dld
ENSMUSG00000063334|Krr1
ENSMUSG00000065990|Aurkaip1
ENSMUSG00000064068|Mtx1
ENSMUSG00000039756|Dnttip2
ENSMUSG00000030652|Coq7
ENSMUSG00000052337|Immt
