ENSMUSG00000014602|Kif1a
ENSMUSG00000026568|Mpc2
ENSMUSG00000046056|Sbsn
ENSMUSG00000022822|Abcc5
ENSMUSG00000040746|Rnf167
ENSMUSG00000038555|Reep2
ENSMUSG00000028447|Dctn3
ENSMUSG00000024012|Mtch1
ENSMUSG00000024862|Klc2
ENSMUSG00000068732|Tmem167b
