ENSMUSG00000031818|Cox4i1
ENSMUSG00000020834|Dhrs13
ENSMUSG00000031458|Coprs
ENSMUSG00000038975|Rabggtb
ENSMUSG00000059890|Ube4a
ENSMUSG00000030806|Stx1b
ENSMUSG00000063882|Uqcrh
ENSMUSG00000061518|Cox5b
ENSMUSG00000060739|Nsa2
ENSMUSG00000045767|B230219D22Rik
