ENSMUSG00000036257|Pnpla8
ENSMUSG00000047139|Cd24a
ENSMUSG00000048175|Asb8
ENSMUSG00000003039|Fam32a
ENSMUSG00000001924|Uba1
ENSMUSG00000060743|H3f3a
ENSMUSG00000024976|Shoc2
ENSMUSG00000028847|Trappc3
ENSMUSG00000003464|Pex19
ENSMUSG00000059439|Bcas3
