ENSMUSG00000019803|Nr2e1
ENSMUSG00000047044|D030056L22Rik
ENSMUSG00000040151|Hs2st1
ENSMUSG00000038280|Ostm1
ENSMUSG00000021767|Kat6b
ENSMUSG00000055373|Fut9
ENSMUSG00000072476|Gm9008
ENSMUSG00000097280|AI849053
ENSMUSG00000053007|Creb5
ENSMUSG00000113835|Gm19554
