ENSMUSG00000050605|Zfp61
ENSMUSG00000086968|4933431E20Rik
ENSMUSG00000024236|Svil
ENSMUSG00000001918|Slc1a5
ENSMUSG00000031595|Pdgfrl
ENSMUSG00000028199|Cryz
ENSMUSG00000021760|Gpx8
ENSMUSG00000019539|Rcn3
ENSMUSG00000028517|Plpp3
ENSMUSG00000060703|Cd302
