ENSMUSG00000066324|Impad1
ENSMUSG00000058927|Gm10053
ENSMUSG00000027937|Jtb
ENSMUSG00000024970|Spindoc
ENSMUSG00000041881|Ndufa7
ENSMUSG00000033257|Ttll4
ENSMUSG00000054051|Ercc6
ENSMUSG00000034667|Xpot
ENSMUSG00000031787|Katnb1
ENSMUSG00000021918|Nek4
