ENSMUSG00000073427|Gm4924
ENSMUSG00000027951|Adar
ENSMUSG00000042197|Zfp451
ENSMUSG00000025199|Chuk
ENSMUSG00000024579|Pcyox1l
ENSMUSG00000034940|Synrg
ENSMUSG00000049823|Zbtb12
ENSMUSG00000030145|Zfp248
ENSMUSG00000027634|Ndrg3
ENSMUSG00000036188|Ankmy2
