ENSMUSG00000089762|Ier5l
ENSMUSG00000024319|Vps52
ENSMUSG00000003382|Etv3
ENSMUSG00000031668|Eif2ak3
ENSMUSG00000032184|Lysmd2
ENSMUSG00000022125|Cln5
ENSMUSG00000037349|Nudt22
ENSMUSG00000036391|Sec24a
ENSMUSG00000024816|Frmd8
ENSMUSG00000085525|Gm13166
