ENSMUSG00000020547|Bzw2
ENSMUSG00000022031|Elp3
ENSMUSG00000022774|Ncbp2
ENSMUSG00000009470|Tnpo1
ENSMUSG00000000787|Ddx3x
ENSMUSG00000030942|Thumpd1
ENSMUSG00000059119|Nap1l4
ENSMUSG00000025782|Taf3
ENSMUSG00000029625|Cpsf4
ENSMUSG00000030876|Mettl9
