ENSMUSG00000018362|Kpna2
ENSMUSG00000020397|Med7
ENSMUSG00000037216|Lipt1
ENSMUSG00000003779|Kif20a
ENSMUSG00000030654|Arl6ip1
ENSMUSG00000033106|Slc7a6os
ENSMUSG00000034349|Smc4
ENSMUSG00000028437|Ubap1
ENSMUSG00000021391|Cenpp
ENSMUSG00000007589|Tinf2
