ENSMUSG00000036646|Man1b1
ENSMUSG00000051335|Gfod1
ENSMUSG00000064145|Arih2
ENSMUSG00000025981|Coq10b
ENSMUSG00000057193|Slc44a2
ENSMUSG00000058013|Sept11
ENSMUSG00000019823|Mical1
ENSMUSG00000032384|Csnk1g1
ENSMUSG00000001833|Sept7
ENSMUSG00000032375|Aph1b
