ENSMUSG00000001999|Blvra
ENSMUSG00000027199|Gatm
ENSMUSG00000029162|Khk
ENSMUSG00000001128|Cfp
ENSMUSG00000050619|Zscan29
ENSMUSG00000066800|Rnasel
ENSMUSG00000049624|Slc17a5
ENSMUSG00000033066|Gas7
ENSMUSG00000036943|Rab8b
ENSMUSG00000036833|Pnpla7
