ENSMUSG00000026824|Kcnj3
ENSMUSG00000039716|Dock3
ENSMUSG00000058589|Anks1b
ENSMUSG00000052372|Il1rapl1
ENSMUSG00000073557|Ppp1r12b
ENSMUSG00000049184|Purg
ENSMUSG00000025759|Mfsd8
ENSMUSG00000029361|Nos1
ENSMUSG00000039257|Vstm2b
ENSMUSG00000040387|Klhl32
