ENSMUSG00000033099|Nol12
ENSMUSG00000021079|Timm9
ENSMUSG00000022437|Samm50
ENSMUSG00000043702|Pde12
ENSMUSG00000027236|Eif3j1
ENSMUSG00000036850|Mrpl41
ENSMUSG00000020775|Mrpl38
ENSMUSG00000078713|Tomm5
ENSMUSG00000066839|Ecsit
ENSMUSG00000016319|Slc25a5
