ENSMUSG00000020692|Nle1
ENSMUSG00000020211|Sf3a2
ENSMUSG00000031060|Rbm10
ENSMUSG00000020454|Eif4enif1
ENSMUSG00000018651|Tada2a
ENSMUSG00000022554|Hgh1
ENSMUSG00000057789|Bak1
ENSMUSG00000036990|Otud4
ENSMUSG00000002835|Chaf1a
ENSMUSG00000029591|Ung
