ENSMUSG00000027797|Dclk1
ENSMUSG00000067215|Usp51
ENSMUSG00000037108|Zcwpw1
ENSMUSG00000071660|Ttc9c
ENSMUSG00000035642|Aamdc
ENSMUSG00000023909|Paqr4
ENSMUSG00000022665|Ccdc80
ENSMUSG00000021379|Id4
ENSMUSG00000036983|Tfb1m
ENSMUSG00000024039|Cbs
