ENSMUSG00000047459|Dynlrb1
ENSMUSG00000041353|Tmem29
ENSMUSG00000001175|Calm1
ENSMUSG00000041268|Dmxl2
ENSMUSG00000022450|Ndufa6
ENSMUSG00000020451|Limk2
ENSMUSG00000025384|Faap100
ENSMUSG00000050796|B3galt6
ENSMUSG00000050856|Atp5k
ENSMUSG00000019505|Ubb
