ENSMUSG00000040276|Pacsin1
ENSMUSG00000038152|5033430I15Rik
ENSMUSG00000019841|Rev3l
ENSMUSG00000101225|1700008J07Rik
ENSMUSG00000021775|Nr1d2
ENSMUSG00000022389|Tef
ENSMUSG00000046743|Fat4
ENSMUSG00000023868|Pde10a
ENSMUSG00000053552|Ebf4
ENSMUSG00000069270|Hist1h2ac
