ENSMUSG00000021713|Ppwd1
ENSMUSG00000026274|Pask
ENSMUSG00000067879|3110035E14Rik
ENSMUSG00000047904|Sstr2
ENSMUSG00000046668|Cxxc5
ENSMUSG00000018470|Kcnab3
ENSMUSG00000039985|Fam60a
ENSMUSG00000070713|Gm10282
ENSMUSG00000067071|Hes6
ENSMUSG00000028076|Cd1d1
