ENSMUSG00000002731|Prkra
ENSMUSG00000073684|Faap20
ENSMUSG00000037221|Mospd3
ENSMUSG00000020778|Ten1
ENSMUSG00000023147|Wrb
ENSMUSG00000031988|Vps26b
ENSMUSG00000000605|Clcn4
ENSMUSG00000045411|2410002F23Rik
ENSMUSG00000021222|Dcaf4
ENSMUSG00000020946|Gosr2
