ENSMUSG00000030672|Mylpf
ENSMUSG00000078566|Bnip3
ENSMUSG00000032366|Tpm1
ENSMUSG00000043639|Rbm20
ENSMUSG00000056671|Prelid2
ENSMUSG00000058056|Palld
ENSMUSG00000060600|Eno3
ENSMUSG00000038132|Rbm24
ENSMUSG00000035232|Pdk3
ENSMUSG00000019528|Gyg
