ENSMUSG00000002329|Mdp1
ENSMUSG00000054499|Dedd2
ENSMUSG00000032422|Snx14
ENSMUSG00000025956|Mettl21a
ENSMUSG00000043909|Trp53bp1
ENSMUSG00000040105|Plpp6
ENSMUSG00000058240|Cryzl1
ENSMUSG00000032417|Rwdd2a
ENSMUSG00000061536|Sec22c
ENSMUSG00000051185|Fam174a
