ENSMUSG00000033128|Gga1
ENSMUSG00000030286|Emc3
ENSMUSG00000020653|Klf11
ENSMUSG00000009035|Tmem184b
ENSMUSG00000033335|Dnm2
ENSMUSG00000085438|1700020I14Rik
ENSMUSG00000031171|Ftsj1
ENSMUSG00000022175|Lrp10
ENSMUSG00000021978|Extl3
ENSMUSG00000053898|Ech1
