ENSMUSG00000067367|Lyar
ENSMUSG00000005481|Ddx39
ENSMUSG00000046909|Tefm
ENSMUSG00000109865|Hspa14
ENSMUSG00000001305|Rrp15
ENSMUSG00000030983|Bccip
ENSMUSG00000036160|Surf6
ENSMUSG00000002129|Sf3a1
ENSMUSG00000037275|Gemin5
ENSMUSG00000025173|Wdr45b
