ENSMUSG00000044674|Fzd1
ENSMUSG00000055761|Nkain3
ENSMUSG00000030226|Lmo3
ENSMUSG00000021047|Nova1
ENSMUSG00000024921|Smarca2
ENSMUSG00000054871|Tmem158
ENSMUSG00000030077|Chl1
ENSMUSG00000086328|2700033N17Rik
ENSMUSG00000031367|Ap1s2
ENSMUSG00000029436|Mmp17
