ENSMUSG00000048000|Gigyf2
ENSMUSG00000018846|Pank3
ENSMUSG00000055305|Zfp93
ENSMUSG00000020621|Rdh14
ENSMUSG00000006850|Tmco6
ENSMUSG00000028329|Xpa
ENSMUSG00000024831|Ighmbp2
ENSMUSG00000014426|Map3k4
ENSMUSG00000022761|Lztr1
ENSMUSG00000023284|Zfp605
