ENSMUSG00000060938|Rpl26
ENSMUSG00000022471|Xrcc6
ENSMUSG00000029203|Ube2k
ENSMUSG00000040669|Phc1
ENSMUSG00000031432|Prps1
ENSMUSG00000030678|Maz
ENSMUSG00000031813|Mvb12a
ENSMUSG00000040782|Cop1
ENSMUSG00000031154|Otud5
ENSMUSG00000026974|Zmynd19
