ENSMUSG00000003545|Fosb
ENSMUSG00000021838|Samd4
ENSMUSG00000027238|Frmd5
ENSMUSG00000038816|Ctnnal1
ENSMUSG00000020777|Acox1
ENSMUSG00000061859|Patj
ENSMUSG00000040430|Pitpnc1
ENSMUSG00000032875|Arhgef17
ENSMUSG00000041308|Sntb2
ENSMUSG00000029705|Cux1
