ENSMUSG00000037624|Kcnk2
ENSMUSG00000035206|Sppl2b
ENSMUSG00000035095|Fam167a
ENSMUSG00000037784|Dzip1l
ENSMUSG00000085271|E130006D01Rik
ENSMUSG00000112278|Gm30025
ENSMUSG00000049422|Chchd10
ENSMUSG00000001948|Spa17
ENSMUSG00000038267|Slc22a23
ENSMUSG00000115263|AC154683.1
