ENSMUSG00000105686|Gm35394
ENSMUSG00000051295|9630028B13Rik
ENSMUSG00000033726|Emx1
ENSMUSG00000037172|E330009J07Rik
ENSMUSG00000029394|Cdk2ap1
ENSMUSG00000025576|Rbfox3
ENSMUSG00000087413|Gm11266
ENSMUSG00000041642|Kif21b
ENSMUSG00000013766|Ly6g6e
ENSMUSG00000087082|Gm15423
