ENSMUSG00000058600|Rpl30
ENSMUSG00000048755|Mcat
ENSMUSG00000028431|Ikbkap
ENSMUSG00000024853|Sf3b2
ENSMUSG00000059355|Wdr83os
ENSMUSG00000001285|Myg1
ENSMUSG00000024370|Cdc23
ENSMUSG00000040731|Eif4h
ENSMUSG00000028580|Pum1
ENSMUSG00000034269|Setd5
