ENSMUSG00000031974|Abcb10
ENSMUSG00000090523|Gypc
ENSMUSG00000028496|Mllt3
ENSMUSG00000040713|Creg1
ENSMUSG00000000253|Gmpr
ENSMUSG00000038695|Josd2
ENSMUSG00000055609|Hba-x
ENSMUSG00000040466|Blvrb
ENSMUSG00000028124|Gclm
ENSMUSG00000042770|Hebp1
