ENSMUSG00000029171|Pgm1
ENSMUSG00000038685|Rtel1
ENSMUSG00000030319|Cand2
ENSMUSG00000031641|Cbr4
ENSMUSG00000044367|Slc16a13
ENSMUSG00000022179|4931414P19Rik
ENSMUSG00000045822|Zswim3
ENSMUSG00000045795|Whamm
ENSMUSG00000033032|Afap1l1
ENSMUSG00000079083|Jrkl
